DataRate,Payload Size,No of Stations,No of Slots,Beacon Interval,Throughput,Simulation Time 
0.65,256,380,10,81920,0.261947,3
0.65,256,390,10,81920,0.256988,3
0.65,256,400,10,81920,0.259739,3
0.65,256,410,10,81920,0.256184,3
0.65,256,420,10,81920,0.255347,3
0.65,256,430,10,81920,0.251343,3
0.65,256,440,10,81920,0.255595,3
0.65,256,450,10,81920,0.257472,3
0.65,256,460,10,81920,0.256401,3
0.65,256,470,10,81920,0.255812,3
0.65,256,480,10,81920,0.259,3
0.65,256,490,10,81920,0.268992,3
0.65,256,500,10,81920,0.252869,3
0.65,256,30,15,81920,0.2304,3
0.65,256,40,15,81920,0.305152,3
0.65,256,50,15,81920,0.277597,3
0.65,256,60,15,81920,0.283569,3
0.65,256,70,15,81920,0.32957,3
0.65,256,80,15,81920,0.326724,3
0.65,256,90,15,81920,0.306517,3
0.65,256,100,15,81920,0.339399,3
0.65,256,110,15,81920,0.336179,3
0.65,256,120,15,81920,0.318687,3
0.65,256,130,15,81920,0.330752,3
0.65,256,140,15,81920,0.328468,3
0.65,256,150,15,81920,0.305835,3
0.65,256,160,15,81920,0.315722,3
0.65,256,170,15,81920,0.297019,3
0.65,256,180,15,81920,0.274995,3
0.65,256,190,15,81920,0.29696,3
0.65,256,200,15,81920,0.28391,3
0.65,256,210,15,81920,0.272166,3
0.65,256,220,15,81920,0.267715,3
0.65,256,230,15,81920,0.264153,3
0.65,256,240,15,81920,0.247357,3
0.65,256,250,15,81920,0.249923,3
0.65,256,260,15,81920,0.246464,3
0.65,256,270,15,81920,0.234262,3
0.65,256,280,15,81920,0.23852,3
0.65,256,290,15,81920,0.236627,3
0.65,256,300,15,81920,0.230951,3
0.65,256,310,15,81920,0.240456,3
0.65,256,320,15,81920,0.230034,3
0.65,256,330,15,81920,0.227119,3
0.65,256,340,15,81920,0.232378,3
0.65,256,350,15,81920,0.231401,3
0.65,256,360,15,81920,0.228578,3
0.65,256,370,15,81920,0.227809,3
0.65,256,380,15,81920,0.226497,3
0.65,256,390,15,81920,0.229195,3
0.65,256,400,15,81920,0.230754,3
0.65,256,410,15,81920,0.227328,3
0.65,256,420,15,81920,0.229094,3
0.65,256,430,15,81920,0.228773,3
0.65,256,440,15,81920,0.229556,3
0.65,256,450,15,81920,0.224729,3
0.65,256,460,15,81920,0.224575,3
0.65,256,470,15,81920,0.225577,3
0.65,256,480,15,81920,0.224857,3
0.65,256,490,15,81920,0.226893,3
0.65,256,500,15,81920,0.227029,3
0.65,256,30,20,81920,0.22912,3
0.65,256,40,20,81920,0.24576,3
0.65,256,50,20,81920,0.278714,3
0.65,256,60,20,81920,0.245623,3
0.65,256,70,20,81920,0.267904,3
0.65,256,80,20,81920,0.245248,3
0.65,256,90,20,81920,0.250508,3
0.65,256,100,20,81920,0.235914,3
0.65,256,110,20,81920,0.249553,3
0.65,256,120,20,81920,0.230144,3
0.65,256,130,20,81920,0.241602,3
0.65,256,140,20,81920,0.225981,3
0.65,256,150,20,81920,0.235783,3
0.65,256,160,20,81920,0.222487,3
0.65,256,170,20,81920,0.236358,3
0.65,256,180,20,81920,0.224987,3
0.65,256,190,20,81920,0.237693,3
0.65,256,200,20,81920,0.226342,3
0.65,256,210,20,81920,0.233621,3
0.65,256,220,20,81920,0.224393,3
0.65,256,230,20,81920,0.234155,3
0.65,256,240,20,81920,0.225343,3
0.65,256,250,20,81920,0.23448,3
0.65,256,260,20,81920,0.229435,3
0.65,256,270,20,81920,0.235549,3
0.65,256,280,20,81920,0.228229,3
0.65,256,290,20,81920,0.235766,3
0.65,256,300,20,81920,0.231787,3
0.65,256,310,20,81920,0.239201,3
0.65,256,320,20,81920,0.233743,3
0.65,256,330,20,81920,0.239299,3
0.65,256,340,20,81920,0.237521,3
0.65,256,350,20,81920,0.239455,3
0.65,256,360,20,81920,0.234793,3
0.65,256,370,20,81920,0.241312,3
0.65,256,380,20,81920,0.237188,3
0.65,256,390,20,81920,0.23883,3
0.65,256,400,20,81920,0.239596,3
0.65,256,410,20,81920,0.23873,3
0.65,256,420,20,81920,0.240552,3
0.65,256,430,20,81920,0.2431,3
0.65,256,440,20,81920,0.239339,3
0.65,256,450,20,81920,0.242341,3
0.65,256,460,20,81920,0.238009,3
0.65,256,470,20,81920,0.239633,3
0.65,256,480,20,81920,0.238279,3
0.65,256,490,20,81920,0.240304,3
0.65,256,500,20,81920,0.23531,3
0.65,256,30,25,81920,0.203662,3
0.65,256,40,25,81920,0.242074,3
0.65,256,50,25,81920,0.279273,3
0.65,256,60,25,81920,0.261266,3
0.65,256,70,25,81920,0.304567,3
0.65,256,80,25,81920,0.257725,3
0.65,256,90,25,81920,0.289199,3
0.65,256,100,25,81920,0.291109,3
0.65,256,110,25,81920,0.280235,3
0.65,256,120,25,81920,0.30464,3
0.65,256,130,25,81920,0.274432,3
0.65,256,140,25,81920,0.284672,3
0.65,256,150,25,81920,0.296894,3
0.65,256,160,25,81920,0.279991,3
0.65,256,170,25,81920,0.297077,3
0.65,256,180,25,81920,0.275712,3
0.65,256,190,25,81920,0.291021,3
0.65,256,200,25,81920,0.278621,3
0.65,256,210,25,81920,0.286128,3
